Developer / Researcher,Treatment vs. Vaccine,Product Category,Stage of Development,Anticipated Next Steps,Product Description,Clinical Trials for COVID-19,Funder,Published Results,Clinical Trials for Other Diseases (T only) / Related Use or Platform (V only),FDA-Approved Indications,Sources,Date Last Updated
Ankara University,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adenovirus-based,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Bharat Biotech/ Thomas Jefferson University,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Recombinant deactivated rabies virus containing S1; (CoraVax),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
"CanSino Biologics/ Institute of Biotechnology, Academy of Military Medical Sciences, PLA of China",Vaccine,Non-replicating viral vector,Pre-clinical,Phase I recruitment began end of September 2020,Ad5-nCoV,NCT04552366,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/2/2020
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,"Non-replicating viral vector, MVA expressing structural proteins",,Unknown,,"Same platform as vaccine candidates for HIV, HCV, CHIKV, EBOV, Zika, Malaria, Leishmania",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"City of
  Hope Medical Center",Vaccine,Non-replicating viral vector,Pre-clinical,Phase I expected to begin November 2020,MVA-based SARS-CoV-2 vaccine; (COH04S1),NCT04639466,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/24/2020
Erciyes University,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adeno5-based,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/3/2020
GeoVax / BravoVax/ NIAID/ NIH/ University of Texas Medical Branch ,Vaccine,Non-replicating viral vector,Pre-clinical,"Awarded a Small Business Innovative Research (SBIR) grant in January 2021 to support the ongoing design, construction, and preclinical testing in preparation for human clinical trials",Non-replicating viral vector; MVA encoded VLP,,National Institute of Allergy and Infectious Diseases (NIAID)/National Institutes of Health (NIH),,"Same platform as vaccine candidates for LASV, EBOV, MARV, HIV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/25/2021
"Globe Biotech Limited, Bangladesh",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adenovirus Type 5 Vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
Greffex,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; Ad5 S (GREVAX™ platform),,Unknown,,"Same platform as vaccine candidates for MERS
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
ID Pharma,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Sendai virus vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"IDIBAPS- Hospital Clinic, Spain",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,MVA-S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
"Institut
  Pasteur/ TheraVectys",Vaccine,Non-replicating viral vector,Pre-clinical,Animal study results released July 2020,Intranasal lentiviral vector vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/2/2020
"Massachusetts Eye and Ear/ AveXis, a Novartis Company/  Viralgen/ Aldevron/ Catalent/ Penn Medicine",Vaccine,Non-replicating viral vector,Pre-clinical,Phase 1 to begin second half of 2020,"AAVCOVID, Adeno-associated viral vector (AAV), spike protein",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/2/2020
"National
  Research Centre, Egypt",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Influenza A H1N1 vector,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
"National Center for Genetic Engineering and Biotechnology (BIOTEC)/ GPO, Thailand",Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Inactivated Flu-based SARS-CoV2 vaccine + Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
Stabilitech Biopharma Ltd,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Oral Ad5 S,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
University of Georgia/ University of Iowa,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Non-replicating viral vector; parainfluenza virus 5 (PIV5)-based vaccine expressing the spike protein,,Unknown,,Same platform as vaccine candidates for MERS ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,4/28/2020
University of Helsinki/ University of Eastern Finland,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Ad 5 vector for intranasal administration,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/9/2020
Valo Therapeutics Ltd,Vaccine,Non-replicating viral vector,Pre-clinical,Unknown,Adenovirus-based + HLA-matched peptides (Pan-Corona),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"Anhui Zhifei Longcom Biopharmaceutical/ Institute of Microbiology, Chinese Academy of Sciences",Vaccine,Protein subunit,Phase III,Phase III began December 2020; Phase I and II safety and immunogenicity data released December 2020; Phase II began July 2020; Received approval to launch clinical trials in China in June 2020,Adjuvanted recombinant protein (RBD-Dimer); ( ZF2001),"NCT04445194, NCT04466085, NCT04550351, NCT04646590",Unknown,medRxiv (https://www.medrxiv.org/content/10.1101/2020.12.20.20248602v1),Same platform as vaccine candidates for MERS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/30/2020
Novavax/Emergent Biosolutions/ Praha Vaccines/ Biofabri/ Fujifilm Diosynth Biotechnologies/ FDB/ Serum Institute of India/ SK bioscience/ Takeda Pharmaceutical Company Limited/ AGC Biologics/ PolyPeptide Group/ Endo,Vaccine,Protein subunit,Phase III,"Phase III trial (PREVENT-19) initiated in the US and Mexico in December 2020, trial protocol released on website; FDA granted Fast Track Designation on 11/9/2020; Phase III dosed in the UK in October 2020, trial protocol released on website, interim data expected to be released in Q1 2021; Phase IIb trial began Aug 2020; Selected for US Operation Warp Speed July 2020; Phase I/II began end of May 2020, interim data expected to be released on 10/30/2020; Animal study & preliminary Phase I results released Aug 2020, Phase I results published Sept 2020",Protein subunit; Full length recombinant SARs COV-2 glycoprotein nanoparticle vaccine adjuvanted with Matrix M; (NVX-CoV2373) (SARS-CoV-2 rS),"EudraCT 2020-004123-16, NCT04368988, NCT04533399, NCT04583995, NCT04611802",Coalition for Epidemic Preparedness (CEPI)/ US Department of Defense/ Gates Foundation,"medRxiv (https://www.medrxiv.org/content/10.1101/2020.08.05.20168435v1), NEJM (https://www.nejm.org/doi/full/10.1056/NEJMoa2026920)","Same platform as vaccine candidates for RSV, CCHF, HPV, VZV, EBOV",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/18/2021
Instituto Finlay de Vacunas,Vaccine,Protein subunit,Phase II,Phase II began December 2020; Phase I began October 2020,rRBD produced in CHO-cell chemically conjugate to tetanus toxoid; (FINLAY-FR-2),"IFV/COR/06 (RPCEC00000340), IFV/COR/08 (RPCEC00000347)",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
Biological E Ltd/ Dynavax/ Baylor College of Medicine,Vaccine,Protein subunit,Phase I/II,"CEPI partnership announced December 2020; Phase I/II began November 2020, interim data expected Q1 2021",Protein subunit; (BECOV2),CTRI/2020/11/029032,Coalition for Epidemic Preparedness Innovations (CEPI),,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Vaccine,Protein subunit,Phase I/II,Efficacy results expected to be announced in February 2021; Received early approval for use in Russia in October 2020; Phase I/II trial began end of July 2020,"Peptide vaccine, EpiVacCorona",NCT04527575,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
Instituto Finlay de Vacunas,Vaccine,Protein subunit,Phase I/II,Phase I/II began August 2020 ,RBD + Adjuvant (FINLAY-FR-1),"IFV/COR/04 (RPCEC00000332), IFV/COR/05 (RPCEC00000338)",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
"Nanogen
  Pharmaceutical Biotechnology",Vaccine,Protein subunit,Phase I/II,Phase I/II began December 2020,"Recombinant SARS-CoV-2 spike protein, aluminum adjuvanted",NCT04683484,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
Sanofi Pasteur/ GSK,Vaccine,Protein subunit,Phase I/II,Phase IIb expected to begin February 2021; Phase I/II interim results announced December 2020; Phase I/II began September 2020; Selected for US Operation Warp Speed in April 2020 and awarded funding in July 2020 ,"Protein subunit; S protein, baculovirus production",NCT04537208,Biomedical Advanced Research and Development Authority (BARDA)/ US Department of Health and Human Services (HHS)/ US Department of Defense (DoD),Sanofi and GSK (https://www.sanofi.com/en/media-room/press-releases/2020/2020-12-11-07-00-00),"Same platform as vaccine candidates for Influenza, SARS-CoV (FDA approved vaccine)",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/14/2020
"Shionogi & Co., Ltd./ National Institute of Infectious Disease, Japan",Vaccine,Protein subunit,Phase I/II,Phase I/II began December 2020,"Recombinant protein vaccine S-268019, baculovirus expression",jRCT2051200092,Japan Agency for Medical Research and Development ,,Same platform as vaccine candidates for Influenza,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/5/2021
"Adimmune
  Corporation",Vaccine,Protein subunit,Phase I,Phase I began end of August 2020; Phase II expected to begin November 2020,"Baculovirus-insect cells expression system, spike (S) protein (tAdimrSC-2f)",NCT04522089,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/2/2020
Clover Biopharmaceuticals Inc./ GSK/ Dynavax,Vaccine,Protein subunit,Phase I,"Phase I safety and immunogenicity data released December 2020; Phase II/III trial (with GSK adjuvant) expected to begin in December 2020; Phase II/III trial (with Dynavax adjuvant) expected to begin during first half of 2021; Pre-clinical results released September 2020; CEPI partnership expanded in July and November 2020, Phase I trial began June 2020, preliminary results expected in the near future; Phase II/III expected to begin before the end of 2020","Protein subunit, native like trimeric subunit spike protein; (SCB-2019)","NCT04405908, NCT04672395",Coalition for Epidemic Preparedness (CEPI),"Clover Biopharmaceuticals (http://www.cloverbiopharma.com/index.php?m=content&c=index&a=show&catid=11&id=53), medRxiv (https://www.medrxiv.org/content/10.1101/2020.12.03.20243709v1)","Same platform as vaccine candidates for HIV, RSV, Influenza",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/30/2020
Covaxx/ University of Nebraska Medical Center (UNMC)/ DASA/ United Biomedical Inc. Asia,Vaccine,Protein subunit,Phase I,Phase I began September 2020; Large scale human efficacy clinical trials expected to be conducted in Brazil and the US,S1-RBD-protein; Multitope Peptide-Based Vaccine (MVP); UB-612,NCT04545749,Ministry of Health and Welfare in Taiwan,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/3/2020
Medigen Vaccine Biologics Corp/ NIAID/ Dynavax,Vaccine,Protein subunit,Phase I,Phase II began recruiting January 2021; Phase I dosed in early October 2020; Received conditional approval for clinical testing on Aug 31 and was given full approval on Sept 30; Pre-clinical data released August 2020 and published November 2020,MVC-COV1901 vaccine injection; S-2 P protein + CpG 1018,"NCT04487210, NCT04695652",Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/12/2021
Vaxine Pty Ltd/ Flinders University/ Oracle/ Medytox/ Sypharma/ Oxford Expression Technologies,Vaccine,Protein subunit,Phase I,Phase I trial began July 2020,Protein subunit; recombinant spike protein with Advax adjuvant (COVAX-19),NCT04453852,Innovate UK/ Australian Government,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,10/1/2020
"West China Hospital, Sichuan University",Vaccine,Protein subunit,Phase I,Phase I began end of August 2020; Animal study data published July 2020,"RBD (baculovirus production
expressed in Sf9 cells)",ChiCTR2000037518,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,9/10/2020
AdaptVac (PREVENT-nCoV consortium),Vaccine,Protein subunit,Pre-clinical,Pre-clinical data published January 2021; initial Phase I/IIa results expected to be released in Q1 2021,"Protein subunit, capsid-like particle (CLP)",,European Commission (Horizon 2020 Program),,Same platform as vaccine candidates for HPV  ,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/25/2021
AJ Vaccines,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; S protein,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
AnyGo Technology,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, recombinant S1-Fc fusion protein",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
"Applied Biotechnology Institute, Inc.",Vaccine,Protein subunit,Pre-clinical,Unknown,"Orally delivered, heat stable subunit",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
Axon Neuroscience SE,Vaccine,Protein subunit,Pre-clinical,Pre-clinical results released September 2020,Peptides derived from Spike protein; (ACvac1),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Baiya Phytopharm/ Chula Vaccine Research Center,Vaccine,Protein subunit,Pre-clinical,Unknown,Plant-based subunit (RBD-Fc + Adjuvant),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/18/2020
Baylor College of Medicine,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; S1 or RBD protein,,Unknown,,Same platform as vaccine candidates for SARS,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
BiOMVis Srl/ University of Trento,Vaccine,Protein subunit,Pre-clinical,Unknown,OMV-based vaccine,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/12/2020
Bogazici University,Vaccine,Protein subunit,Pre-clinical,Unknown,Peptide + novel adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
"Chulalongkorn University/ GPO, Thailand",Vaccine,Protein subunit,Pre-clinical,Unknown,RBD protein fused with Fc of IgG + Adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/1/2020
EpiVax ,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit EPV-CoV-19,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/27/2020
EpiVax / University of Georgia,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; S protein,,Unknown,,Same platform as vaccine candidates for Inf H7N9,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
ExpreS2ion,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, drosophila S2 insect cell expression system VLPs",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Farmacológicos Veterinarios SAC (FARVET SAC) / Universidad Peruana Cayetano Heredia (UPCH),Vaccine,Protein subunit,Pre-clinical,Unknown,RBD protein (baculovirus production) + FAR-Squalene adjuvant,,Unknown,,Same platform as multiple vaccine candidates,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,1/19/2021
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Vaccine,Protein subunit,Pre-clinical,Unknown,Subunit vaccine ,,Unknown,,Same platform as vaccine candidates for Ebola,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/31/2020
Flow Pharma,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, peptide",,Unknown,,"Same platform as vaccine candidates for Ebola, Marburg, HIV, Zika, Influenza, HPV therapeutic vaccine, Breast Cancer ",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Generex / EpiVax,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; Ii-Key peptide,,Unknown,,"Same platform as vaccine candidates for HIV, SARS-CoV, Influenza",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Heat Biologics (Zolovax)/ University of Miami/ Waisman Biomanufacturing,Vaccine,Protein subunit,Pre-clinical,Animal data released August 2020,Protein subunit (gp-96 backbone),,Unknown,,"Same platform as vaccine candidates for cancer (NSCLC), HIV, malaria, Zika",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,8/13/2020
"Helix Biogen Consult, Ogbomoso & Trinity Immonoefficient Laboratory, Ogbomoso, Oyo State, Nigeria",Vaccine,Protein subunit,Pre-clinical,Unknown,Subunit,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
iBio / CC-Pharming,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit; Subunit protein, plant produced",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
ImmunoPrecise/ LiteVax BV,Vaccine,Protein subunit,Pre-clinical,Unknown,Spike-based (epitope screening),,TRANSVAC2,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
"IMV, Inc., Canadian Center for Vaccinology at Dalhousie University, Izaak Walton Killam Health Center, Nova Scotia Health Authority, Canadian Immunization Research Network, University of Laval, Global Urgent and Advanced Research and Development in Canada",Vaccine,Protein subunit,Pre-clinical,Phase I/II expected to begin by end of 2020,"Protein subunit; DPX-COVID-19, protein subunit, peptide antigens formulated in LNP",,"National Research Council of Canada Industrial Research Assistance Program (NRC IRAP), Atlantic Canada Opportunities Agency (ACOA), and Next Generation Manufacturing Canada (NGen)",,"Same platform as vaccine candidates for cancer and infectious diseases, including malaria and anthrax",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
InnoMedica,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, TaliCoVax19 ",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Innovax / Xiamen University / GSK,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; COVID-19 XWG-03 truncated Spike proteins,,Unknown,,"Same platform as vaccine candidates for HPV  
",N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
Intravacc/Epivax,Vaccine,Protein subunit,Pre-clinical,Unknown,Outer Membrane Vesicle (OMV)-peptide,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
Intravacc/Epivax,Vaccine,Protein subunit,Pre-clinical,Unknown,Outer Membrane Vesicle (OMV)-subunit,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/12/2020
Izmir Biomedicine and Genome Center,Vaccine,Protein subunit,Pre-clinical,Unknown,Recombinant S protein,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/9/2020
Kazakh National Agrarian University,Vaccine,Protein subunit,Pre-clinical,Unknown,Recombinant spike protein with Essai O/W 1849101 adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
"Kazakh National Agrarian University, Kazakhstan/ National Scientific Center for Especially Dangerous Infections",Vaccine,Protein subunit,Pre-clinical,Unknown,Recombinant spike protein with Essai O/W 1849101 adjuvant,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
Kentucky BioProcessing (British American Tobacco),Vaccine,Protein subunit,Pre-clinical,Phase I/II expected to begin end of December 2020,"RBD-based, (KBP-COVID-19)",NCT04473690,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,12/30/2020
"LakePharma, Inc.",Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, nanoparticle vaccine",,Unknown,,,,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/4/2020
Lomonosov Moscow State University,Vaccine,Protein subunit,Pre-clinical,Unknown,Structurally modified spherical particles of the tobacco mosaic virus (TMV),,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/27/2020
Max-Planck Institute of Colloids and Interfaces,Vaccine,Protein subunit,Pre-clinical,Unknown,Recombinant S protein,,KHAN-1 Technology Transfer Fund I GmbH & Co KG,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
MIGAL Galilee Research Institute,Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit; oral E. coli-based protein expression system of S and N proteins,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"MOGAM Institute for Biomedical Research, GC Pharma",Vaccine,Protein subunit,Pre-clinical,Unknown,Protein subunit,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Mynvax,Vaccine,Protein subunit,Pre-clinical,Unknown,RBD-protein,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,7/15/2020
"National
  Research Centre, Egypt",Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein Subunit S, N, M & S1 protein",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,6/30/2020
Neo7Logix,Vaccine,Protein subunit,Pre-clinical,Unknown,Peptides,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/16/2020
Neovii/Tel Aviv University,Vaccine,Protein subunit,Pre-clinical,Unknown,RBD-based,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,5/19/2020
Ohio State University/ Kazakh National Agrarian University,Vaccine,Protein subunit,Pre-clinical,Unknown,RBD protein delivered in mannose-conjugated chitosan nanoparticle,,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,11/10/2020
OncoGen,Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, synthetic long peptide vaccine candidate for S and M proteins",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
"Osaka University / BIKEN / National Institutes of Biomedical Innovation, Japan",Vaccine,Protein subunit,Pre-clinical,Unknown,"Protein subunit, VLP-recombinant protein + adjuvant",,Unknown,,,N/A,https://docs.google.com/document/d/1Y4nCJJ4njzD1wiHbufCY6gqfRmj49Qn_qNgOJD62Wik/edit,Prior to 4/20/2020
